ecotype id	nativename	170_Anthocyanin 10	171_Anthocyanin 16	172_Anthocyanin 22	77_LES	78_YEL 	79_LY 	167_Chlorosis 10	168_Chlorosis 16	169_Chlorosis 22	176_Leaf roll 10	177_Leaf roll 16	178_Leaf roll 22	8_Seed Dormancy	277_Secondary Dormancy	281_Storage 7 days	282_Storage 28 days	283_Storage 56 days	179_Rosette Erect 22	1_LD	2_LDV	3_SD	4_SDV	5_FT10	6_FT16	7_FT22	43_FLC	44_FRI	33_<i>avrRpm1</i>	34_<i>avrRpt2</i>	35_<i>avrB</i>	161_Germ 10	162_Germ 16	163_Germ 22	278_Germ in dark	279_DSDS50	273_Vern Growth	274_After Vern Growth	60_FT Duration GH	61_LC Duration GH	62_LFS GH	63_MT GH	64_RP GH	158_Silique 16	159_Silique 22	
6946	Oy-0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	NA	1.80087	17.75	38.75	38.0847	0.0	32.8403	29.8333	102.442	64.8333	62.0	45.0	34.0	0.038	0.816	1.0	1.0	1.0	7.0	3.0	2.0	13.8889	80.6682	0.00917359	0.141663	21.5941	69.1273	52.9199	16.0501	37.8208	1.6	1.1	
6951	Pu2-23	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	28.0	1.28066	5.8175	32.5	97.5	1.0	44.0417	25.6667	87.5139	47.1667	68.0	50.0	35.0	0.661	2.4586	1.0	1.0	1.0	7.0	4.0	2.0	41.196	34.9419	0.00387895	0.111549	20.8772	71.4362	55.2288	16.2029	37.3443	1.3	1.4	
6956	Pu2-7	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	33.0	0.18999	0.0	5.5	87.5	1.0	51.2083	27.1667	90.3542	50.0	69.0	67.0	41.0	1.3	2.2153	1.0	1.0	1.0	7.0	4.0	2.0	98.2558	44.6354	0.00106702	0.0569047	28.0164	85.6798	73.5789	12.0083	40.0544	1.5	1.3	
6957	Pu2-8	0.0	NA	0.0	NA	NA	NA	1.0	NA	0.0	0.0	NA	0.0	NA	NA	NA	NA	NA	0.0	44.3681	28.8333	101.201	47.0	84.0	NA	55.0	2.175	2.234	NA	NA	NA	7.0	NA	3.0	NA	NA	NA	NA	21.9776	91.2753	76.3725	14.592	36.7066	NA	NA	
6958	Ra-0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	64.0	1.05945	1.64e-17	8.19e-17	0.5	0.0	27.1667	23.1667	102.542	50.0	49.0	31.0	25.0	3.397	0.4204	0.0	1.0	0.0	7.0	3.0	2.0	8.31475	105.459	0.00187969	0.0627259	22.1637	64.5282	46.3328	17.551	40.0871	1.7	1.4	
6959	Ren-1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.182897	2.715	26.5	77.9997	1.0	38.0208	29.1667	89.3542	52.3333	51.0	48.0	42.0	0.459	0.6573	1.0	0.0	1.0	5.0	3.0	2.0	52.261	39.5312	0.00149967	0.0428271	23.6135	74.998	61.1569	13.7587	37.6396	1.4	1.2	
6960	Ren-11	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	41.0	1.43e-16	1.62e-17	4.75	55.9069	0.0	24.6667	20.3333	81.8403	38.8333	47.0	31.0	25.0	0.241	0.7975	1.0	1.0	1.0	5.0	3.0	2.0	75.0	54.9724	0.00452957	0.0809157	17.9194	58.8501	41.0774	17.8695	35.7736	1.7	1.0	
6961	Se-0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	123.0	0.177604	0.0	0.5	41.6514	1.0	46.5417	20.1667	73.3333	31.6667	46.0	47.0	56.0	3.63	1.009	1.0	1.0	1.0	7.0	3.0	3.0	67.3207	59.2843	0.00270936	0.0584186	26.9776	88.8256	82.5147	7.07637	33.5888	1.6	1.1	
6962	Shahdara	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	28.0	0.0	0.25	19.75	77.9613	1.0	33.3403	24.5	77.0	38.8333	52.0	42.0	33.0	0.063	1.0127	1.0	1.0	1.0	5.0	3.0	2.0	99.3902	42.8747	0.00277801	0.0660653	29.1523	76.7473	62.5239	13.7726	43.2537	1.4	1.1	
6963	Sorbo	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	73.0	NA	0.0	0.0	0.0	1.0	50.0417	27.0	99.7917	37.5	60.0	66.0	50.0	1.371	0.6743	1.0	1.0	1.0	5.0	3.0	2.0	NA	146.961	0.00502153	0.122466	31.1332	105.346	89.2917	16.0415	47.2684	1.8	1.1	
